Audience,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 25-49,,HM F 25-49,,HM F 25-49,,HM F 25-49
,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB
,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany
,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach
38,0.181,472.1030043,0.359084406,82.5751073,18.88412017,472.6398712,0.887852361,34.51,0.1997,201.5882712,0.232742822,201.6973794,0.418198167,66.26756261,16.24923641,25.11,0.1847,314.5853194,0.279313632,74.01334604,18.11248808,314.0916111,0.569086368
39,0.181,486.4091559,0.363376252,84.97854077,19.1702432,486.9105722,0.904604292,34.69,0.2011,207.6970067,0.235186316,207.7579414,0.42624044,68.24679291,16.49358583,25.23,0.1858,324.1182078,0.282173499,76.30123928,18.39847474,,
42,0.201,500.7153076,0.367668097,87.55364807,19.45636624,501.0411016,0.920159657,34.77,0.2019,213.8057422,0.238240684,213.8473977,0.434282712,70.29932804,16.73793525,25.94,0.1882,333.6510963,0.285033365,78.58913251,18.68446139,,
42,0.205,515.0214592,0.371959943,90.12875536,19.59942775,515.6215594,0.935715021,35.3,0.2031,219.9144777,0.240684178,219.9368601,0.442324985,72.27855834,16.98228467,27.39,0.1966,343.1839847,0.287893232,80.76263108,18.97044805,,
42,0.205,529.3276109,0.376251788,92.53218884,19.88555079,529.1957654,0.95007382,36.02,0.2077,226.0232132,0.243127673,226.0263225,0.450367257,74.25778864,17.22663409,27.65,0.197,352.7168732,0.290753098,83.05052431,19.2564347,,
43,0.208,543.6337625,0.380543634,95.10729614,20.17167382,536.0621173,0.957304149,36.1,0.2085,232.1319487,0.245571167,232.1506475,0.45840953,76.31032376,17.47098351,28.56,0.2006,362.2497617,0.293612965,85.22402288,19.54242135,,
44,0.208,557.9399142,0.384835479,97.51072961,20.45779685,515.6215594,0.935715021,36.27,0.2092,238.2406842,0.248014661,238.5175015,0.466451802,78.28955406,17.71533293,29.48,0.2014,371.7826501,0.295519542,87.51191611,19.82840801,,
44,0.208,572.2460658,0.38769671,100.0858369,20.74391989,529.1957654,0.95007382,36.54,0.2105,244.3494197,0.249847282,244.3537813,0.473823885,80.26878436,17.95968235,29.48,0.2013,381.3155386,0.298379409,89.79980934,20.01906578,,
44,0.21,586.5522175,0.391988555,,,536.0621173,0.957304149,36.82,0.2109,250.4581552,0.252290776,250.7206292,0.481866158,,,31.02,0.2119,390.8484271,0.291706387,,,,
45,0.213,600.8583691,0.396280401,,,,,36.88,0.2108,256.5668907,0.25473427,256.7597434,0.489238241,,,31.47,0.2148,400.3813155,0.293612965,,,,
46,0.217,615.1645207,0.399141631,,,,,36.89,0.2109,262.6756261,0.256566891,263.0168479,0.496610324,,,32.96,0.2215,409.914204,0.295519542,,,,
46,0.221,629.4706724,0.402002861,,,,,37.54,0.2109,268.7843616,0.259010385,268.7051313,0.503312217,,,33.18,0.2215,419.4470925,0.29742612,,,,
48,0.23,643.776824,0.406294707,,,,,38.53,0.2158,274.8930971,0.260843005,275.1302505,0.510684301,,,34.06,0.2222,428.9799809,0.300285987,,,,
48,0.23,658.0829757,0.409155937,,,,,39.46,0.2168,281.0018326,0.262675626,281.0577886,0.517386194,,,34.41,0.2232,438.5128694,0.302192564,,,,
50,0.231,672.3891273,0.412017167,,,,,39.46,0.2168,287.1105681,0.264508247,287.4453513,0.524758277,,,34.74,0.2264,448.0457579,0.304099142,,,,
51,0.237,686.695279,0.414878398,,,,,39.46,0.2167,293.2193036,0.266340867,293.1156872,0.531460171,,,35.23,0.2275,457.5786463,0.305052431,,,,
52,0.238,701.0014306,0.419170243,,,,,40.43,0.2223,299.3280391,0.268784362,297.1771411,0.536170617,,,36.01,0.2312,467.1115348,0.307912297,,,,
52,0.238,715.3075823,0.422031474,,,,,40.45,0.2223,305.4367746,0.270616982,,,,,36.35,0.2315,476.6444233,0.309818875,,,,
54,0.24,729.6137339,0.424892704,,,,,40.51,0.2222,311.5455101,0.271838729,,,,,36.65,0.2345,486.1773117,0.310772164,,,,
54,0.24,743.9198856,0.427753934,,,,,41.49,0.2239,317.6542456,0.27367135,,,,,39.08,0.2519,495.7102002,0.311725453,,,,
54,0.24,758.2260372,0.430615165,,,,,42.2,0.2242,323.7629811,0.275503971,,,,,39.37,0.2548,505.2430887,0.314585319,,,,
54,0.24,772.5321888,0.433476395,,,,,42.69,0.2246,329.8717166,0.277336591,,,,,40.71,0.2606,514.7759771,0.316491897,,,,
55,0.242,786.8383405,0.43490701,,,,,43.23,0.2264,335.980452,0.279169212,,,,,41.25,0.2611,524.3088656,0.317445186,,,,
55,0.242,,,,,,,43.44,0.2267,,,,,,,41.69,0.2611,,,,,,
55,0.242,,,,,,,44.09,0.2278,,,,,,,45.13,0.2761,,,,,,
56,0.242,,,,,,,44.25,0.2278,,,,,,,48.7,0.2783,,,,,,
57,0.243,,,,,,,44.39,0.2277,,,,,,,52.19,0.2802,,,,,,
58,0.243,,,,,,,44.58,0.2278,,,,,,,53,0.2802,,,,,,
58,0.244,,,,,,,45.04,0.2303,,,,,,,54.99,0.2831,,,,,,
59,0.25,,,,,,,45.43,0.234,,,,,,,55.16,0.2831,,,,,,
60,0.252,,,,,,,45.83,0.234,,,,,,,55.23,0.2831,,,,,,
62,0.256,,,,,,,46.52,0.2356,,,,,,,56.36,0.2841,,,,,,
66,0.258,,,,,,,46.84,0.2365,,,,,,,56.43,0.2841,,,,,,
72,0.298,,,,,,,47.31,0.2364,,,,,,,58.55,0.2907,,,,,,
72,0.298,,,,,,,48.48,0.2401,,,,,,,59.07,0.2924,,,,,,
72,0.298,,,,,,,48.92,0.24,,,,,,,59.08,0.2924,,,,,,
72,0.298,,,,,,,49.5,0.2411,,,,,,,59.16,0.293,,,,,,
72,0.3,,,,,,,49.9,0.2413,,,,,,,59.53,0.2937,,,,,,
74,0.302,,,,,,,50.63,0.2422,,,,,,,59.53,0.2937,,,,,,
75,0.301,,,,,,,51.53,0.2473,,,,,,,60.06,0.2944,,,,,,
75,0.302,,,,,,,51.91,0.2497,,,,,,,60.21,0.2944,,,,,,
77,0.302,,,,,,,52.12,0.2501,,,,,,,60.29,0.2944,,,,,,
77,0.302,,,,,,,53.9,0.2577,,,,,,,60.29,0.2944,,,,,,
78,0.302,,,,,,,54.68,0.2588,,,,,,,61.46,0.298,,,,,,
78,0.303,,,,,,,54.73,0.2588,,,,,,,62.07,0.298,,,,,,
79,0.305,,,,,,,55.15,0.2604,,,,,,,62.72,0.2999,,,,,,
79,0.305,,,,,,,55.29,0.2608,,,,,,,63.18,0.3028,,,,,,
80,0.306,,,,,,,55.68,0.2618,,,,,,,63.81,0.3048,,,,,,
80,0.306,,,,,,,57.47,0.2705,,,,,,,63.81,0.3048,,,,,,
80,0.307,,,,,,,57.68,0.2707,,,,,,,64.37,0.3056,,,,,,
81,0.308,,,,,,,59.26,0.2712,,,,,,,64.37,0.3056,,,,,,
89,0.354,,,,,,,59.82,0.2724,,,,,,,64.4,0.3055,,,,,,
90,0.357,,,,,,,60.6,0.2736,,,,,,,64.75,0.3074,,,,,,
90,0.358,,,,,,,61.32,0.2752,,,,,,,65.35,0.31,,,,,,
90,0.36,,,,,,,62.36,0.279,,,,,,,65.6,0.31,,,,,,
91,0.364,,,,,,,63.48,0.2795,,,,,,,65.76,0.31,,,,,,
91,0.364,,,,,,,64.6,0.2846,,,,,,,65.87,0.311,,,,,,
91,0.364,,,,,,,65.73,0.289,,,,,,,66.3,0.3109,,,,,,
91,0.364,,,,,,,67.05,0.2906,,,,,,,66.93,0.3134,,,,,,
92,0.367,,,,,,,68.45,0.2918,,,,,,,67.18,0.3144,,,,,,
93,0.37,,,,,,,69.4,0.2932,,,,,,,67.33,0.3146,,,,,,
93,0.375,,,,,,,69.51,0.2939,,,,,,,67.93,0.3188,,,,,,
93,0.375,,,,,,,70.11,0.2961,,,,,,,68.23,0.3189,,,,,,
94,0.38,,,,,,,70.41,0.2966,,,,,,,68.29,0.3189,,,,,,
94,0.38,,,,,,,70.76,0.2987,,,,,,,68.84,0.3207,,,,,,
94,0.382,,,,,,,70.79,0.2987,,,,,,,68.88,0.321,,,,,,
95,0.387,,,,,,,71.06,0.3001,,,,,,,68.91,0.321,,,,,,
95,0.387,,,,,,,73.47,0.3046,,,,,,,69.32,0.3212,,,,,,
95,0.387,,,,,,,74.84,0.3081,,,,,,,69.74,0.3211,,,,,,
96,0.387,,,,,,,76.36,0.3111,,,,,,,71.97,0.324,,,,,,
98,0.392,,,,,,,77.52,0.3121,,,,,,,72.12,0.3239,,,,,,
98,0.392,,,,,,,77.95,0.3147,,,,,,,72.88,0.3241,,,,,,
99,0.392,,,,,,,78.31,0.3147,,,,,,,76.01,0.3326,,,,,,
99,0.392,,,,,,,78.69,0.3149,,,,,,,76.01,0.3326,,,,,,
100,0.393,,,,,,,81.14,0.3229,,,,,,,76.36,0.3335,,,,,,
100,0.393,,,,,,,81.76,0.3246,,,,,,,76.54,0.3335,,,,,,
100,0.393,,,,,,,83.21,0.3289,,,,,,,77.77,0.334,,,,,,
101,0.395,,,,,,,84.57,0.3306,,,,,,,77.85,0.334,,,,,,
102,0.396,,,,,,,84.81,0.3315,,,,,,,77.93,0.3339,,,,,,
103,0.397,,,,,,,85.02,0.3315,,,,,,,78.18,0.3346,,,,,,
105,0.397,,,,,,,85.35,0.3321,,,,,,,78.21,0.3348,,,,,,
105,0.4,,,,,,,85.61,0.3337,,,,,,,78.98,0.3365,,,,,,
107,0.4,,,,,,,86.35,0.3343,,,,,,,79.85,0.3396,,,,,,
109,0.401,,,,,,,87.43,0.3355,,,,,,,80.37,0.3415,,,,,,
110,0.402,,,,,,,87.45,0.3357,,,,,,,81.18,0.3422,,,,,,
111,0.402,,,,,,,87.97,0.3357,,,,,,,81.73,0.3427,,,,,,
111,0.402,,,,,,,88.45,0.3357,,,,,,,82.73,0.3469,,,,,,
111,0.405,,,,,,,89.74,0.3381,,,,,,,84.59,0.3474,,,,,,
112,0.405,,,,,,,90.42,0.3381,,,,,,,85.62,0.3479,,,,,,
113,0.41,,,,,,,92.16,0.3389,,,,,,,87.79,0.354,,,,,,
114,0.416,,,,,,,92.77,0.3392,,,,,,,90.38,0.3582,,,,,,
115,0.417,,,,,,,93.33,0.3401,,,,,,,90.45,0.3582,,,,,,
115,0.417,,,,,,,95.32,0.3422,,,,,,,91.48,0.3617,,,,,,
116,0.417,,,,,,,95.32,0.3421,,,,,,,91.99,0.3641,,,,,,
116,0.417,,,,,,,95.93,0.3436,,,,,,,92.31,0.3642,,,,,,
116,0.418,,,,,,,97.99,0.3479,,,,,,,92.73,0.3652,,,,,,
118,0.421,,,,,,,98.73,0.3491,,,,,,,92.89,0.3662,,,,,,
119,0.422,,,,,,,99.12,0.3496,,,,,,,93.64,0.3698,,,,,,
121,0.423,,,,,,,99.12,0.3496,,,,,,,95.26,0.372,,,,,,
121,0.424,,,,,,,100,0.3559,,,,,,,97.12,0.3742,,,,,,
121,0.424,,,,,,,100.43,0.3573,,,,,,,97.23,0.3745,,,,,,
121,0.424,,,,,,,102.72,0.3642,,,,,,,97.35,0.3745,,,,,,
122,0.427,,,,,,,103.27,0.3673,,,,,,,100.47,0.3833,,,,,,
123,0.427,,,,,,,104.36,0.3684,,,,,,,100.71,0.3844,,,,,,
124,0.429,,,,,,,105.06,0.3688,,,,,,,101.65,0.3871,,,,,,
125,0.43,,,,,,,105.41,0.3695,,,,,,,102.05,0.3877,,,,,,
126,0.432,,,,,,,105.67,0.3696,,,,,,,102.26,0.388,,,,,,
126,0.432,,,,,,,105.86,0.371,,,,,,,102.37,0.388,,,,,,
127,0.433,,,,,,,106.26,0.3728,,,,,,,103.35,0.3913,,,,,,
130,0.439,,,,,,,106.84,0.3729,,,,,,,104.77,0.3927,,,,,,
130,0.441,,,,,,,107.48,0.3738,,,,,,,106.79,0.3927,,,,,,
131,0.442,,,,,,,107.83,0.3739,,,,,,,107.04,0.3935,,,,,,
133,0.453,,,,,,,108.33,0.3754,,,,,,,107.64,0.3943,,,,,,
133,0.455,,,,,,,108.84,0.3767,,,,,,,108.33,0.3963,,,,,,
134,0.458,,,,,,,109.46,0.3767,,,,,,,108.87,0.3963,,,,,,
134,0.458,,,,,,,109.66,0.3772,,,,,,,109.15,0.3963,,,,,,
135,0.459,,,,,,,109.99,0.3781,,,,,,,109.7,0.3976,,,,,,
135,0.459,,,,,,,111.81,0.3811,,,,,,,109.97,0.3976,,,,,,
135,0.459,,,,,,,113.59,0.3893,,,,,,,109.99,0.3978,,,,,,
136,0.459,,,,,,,113.85,0.3895,,,,,,,110.56,0.3978,,,,,,
136,0.459,,,,,,,114.15,0.3902,,,,,,,110.56,0.3978,,,,,,
137,0.459,,,,,,,114.37,0.3902,,,,,,,111.88,0.4009,,,,,,
