Audience,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 25-49,,HM F 25-49,,HM F 25-49,,HM F 25-49
,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB
,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany
,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach
456,0.687,,,,,,,390.55,0.6117,,,,,,,352.48,0.5828,,,,,,
456,0.687,,,,,,,391.13,0.6117,,,,,,,353.06,0.5828,,,,,,
456,0.687,,,,,,,393.47,0.6131,,,,,,,353.47,0.583,,,,,,
457,0.688,,,,,,,394.14,0.6133,,,,,,,354.32,0.5845,,,,,,
458,0.688,,,,,,,395.07,0.6134,,,,,,,355.17,0.5845,,,,,,
458,0.688,,,,,,,395.41,0.6139,,,,,,,356.29,0.5861,,,,,,
459,0.688,,,,,,,395.53,0.6139,,,,,,,356.89,0.5862,,,,,,
459,0.688,,,,,,,396.6,0.6148,,,,,,,357.58,0.5863,,,,,,
460,0.688,,,,,,,397.47,0.6158,,,,,,,357.58,0.5863,,,,,,
461,0.688,,,,,,,398.01,0.6158,,,,,,,357.68,0.5863,,,,,,
462,0.69,,,,,,,399.19,0.6158,,,,,,,357.83,0.5863,,,,,,
463,0.69,,,,,,,399.49,0.6158,,,,,,,357.83,0.5863,,,,,,
465,0.691,,,,,,,401.37,0.6158,,,,,,,359.82,0.5872,,,,,,
466,0.692,,,,,,,402.01,0.6158,,,,,,,360.13,0.5872,,,,,,
467,0.692,,,,,,,403.68,0.616,,,,,,,360.33,0.5872,,,,,,
467,0.692,,,,,,,403.94,0.616,,,,,,,360.61,0.5872,,,,,,
467,0.692,,,,,,,403.97,0.6162,,,,,,,361.12,0.5872,,,,,,
467,0.692,,,,,,,404.16,0.6162,,,,,,,361.36,0.5872,,,,,,
469,0.692,,,,,,,404.43,0.6163,,,,,,,361.57,0.5874,,,,,,
470,0.692,,,,,,,404.78,0.6163,,,,,,,362.29,0.5874,,,,,,
471,0.694,,,,,,,404.81,0.6163,,,,,,,362.45,0.5874,,,,,,
471,0.694,,,,,,,405.23,0.6163,,,,,,,363.06,0.5878,,,,,,
471,0.694,,,,,,,405.75,0.6164,,,,,,,363.7,0.5883,,,,,,
471,0.694,,,,,,,406.55,0.617,,,,,,,364.06,0.5883,,,,,,
471,0.694,,,,,,,407.02,0.6171,,,,,,,364.42,0.5883,,,,,,
471,0.694,,,,,,,407.18,0.6171,,,,,,,365.07,0.5889,,,,,,
472,0.694,,,,,,,408.03,0.6171,,,,,,,368.29,0.5915,,,,,,
473,0.696,,,,,,,409.05,0.6172,,,,,,,368.29,0.5915,,,,,,
473,0.696,,,,,,,409.59,0.6174,,,,,,,368.83,0.592,,,,,,
474,0.696,,,,,,,410.09,0.6174,,,,,,,368.98,0.592,,,,,,
474,0.696,,,,,,,410.34,0.6177,,,,,,,369.41,0.5922,,,,,,
475,0.696,,,,,,,410.55,0.6177,,,,,,,369.73,0.5922,,,,,,
475,0.696,,,,,,,410.73,0.6177,,,,,,,371.07,0.5934,,,,,,
475,0.697,,,,,,,410.89,0.6177,,,,,,,371.07,0.5934,,,,,,
476,0.698,,,,,,,411.39,0.6177,,,,,,,372.27,0.5937,,,,,,
478,0.702,,,,,,,411.94,0.6179,,,,,,,373.15,0.5938,,,,,,
478,0.702,,,,,,,412.47,0.6179,,,,,,,373.73,0.5946,,,,,,
479,0.706,,,,,,,412.69,0.618,,,,,,,373.86,0.5946,,,,,,
479,0.706,,,,,,,413.11,0.6182,,,,,,,373.9,0.5946,,,,,,
480,0.706,,,,,,,415.53,0.6202,,,,,,,374.31,0.597,,,,,,
480,0.706,,,,,,,416.19,0.6202,,,,,,,374.51,0.597,,,,,,
480,0.706,,,,,,,418.81,0.6213,,,,,,,374.62,0.597,,,,,,
480,0.706,,,,,,,419.05,0.6214,,,,,,,374.73,0.597,,,,,,
481,0.706,,,,,,,419.4,0.6215,,,,,,,375.48,0.597,,,,,,
481,0.706,,,,,,,420.7,0.6215,,,,,,,376.25,0.597,,,,,,
481,0.706,,,,,,,421.05,0.6215,,,,,,,377.69,0.597,,,,,,
481,0.706,,,,,,,421.92,0.622,,,,,,,378.81,0.597,,,,,,
484,0.706,,,,,,,422.32,0.622,,,,,,,379.1,0.597,,,,,,
486,0.706,,,,,,,423.94,0.622,,,,,,,379.17,0.597,,,,,,
487,0.707,,,,,,,424.49,0.6227,,,,,,,379.48,0.597,,,,,,
487,0.707,,,,,,,425.72,0.6227,,,,,,,385.54,0.6104,,,,,,
488,0.707,,,,,,,426.43,0.6231,,,,,,,385.94,0.6114,,,,,,
488,0.707,,,,,,,426.51,0.6231,,,,,,,385.94,0.6114,,,,,,
488,0.707,,,,,,,428.42,0.6231,,,,,,,385.94,0.6114,,,,,,
489,0.707,,,,,,,430.37,0.6243,,,,,,,387.44,0.6147,,,,,,
489,0.707,,,,,,,432.25,0.6248,,,,,,,387.63,0.6148,,,,,,
490,0.707,,,,,,,432.48,0.6248,,,,,,,388.41,0.6148,,,,,,
491,0.707,,,,,,,432.62,0.6248,,,,,,,389.24,0.6148,,,,,,
491,0.707,,,,,,,432.88,0.6248,,,,,,,389.61,0.6148,,,,,,
492,0.707,,,,,,,433.02,0.6248,,,,,,,390.94,0.6153,,,,,,
493,0.707,,,,,,,433.66,0.6248,,,,,,,392.94,0.6157,,,,,,
493,0.707,,,,,,,435.31,0.6248,,,,,,,394.48,0.6157,,,,,,
493,0.707,,,,,,,436.68,0.6248,,,,,,,395.03,0.6161,,,,,,
493,0.707,,,,,,,437.79,0.6248,,,,,,,395.84,0.617,,,,,,
496,0.709,,,,,,,438.94,0.6248,,,,,,,396.51,0.6177,,,,,,
496,0.711,,,,,,,440.01,0.6249,,,,,,,396.74,0.6189,,,,,,
497,0.711,,,,,,,440.22,0.625,,,,,,,396.88,0.6189,,,,,,
497,0.711,,,,,,,441.32,0.625,,,,,,,397.06,0.6189,,,,,,
498,0.711,,,,,,,442.38,0.6252,,,,,,,397.5,0.6189,,,,,,
498,0.711,,,,,,,444.75,0.6261,,,,,,,397.81,0.6189,,,,,,
499,0.711,,,,,,,445.03,0.6262,,,,,,,398.2,0.6201,,,,,,
499,0.711,,,,,,,445.59,0.6262,,,,,,,399.54,0.6201,,,,,,
501,0.711,,,,,,,446.15,0.6262,,,,,,,400.04,0.6201,,,,,,
502,0.711,,,,,,,447.8,0.6273,,,,,,,400.66,0.6201,,,,,,
503,0.711,,,,,,,448.21,0.6273,,,,,,,401.58,0.6201,,,,,,
504,0.711,,,,,,,448.22,0.6273,,,,,,,402.12,0.6201,,,,,,
505,0.711,,,,,,,448.35,0.6275,,,,,,,403.6,0.6203,,,,,,
507,0.711,,,,,,,448.49,0.6275,,,,,,,403.6,0.6203,,,,,,
508,0.711,,,,,,,448.84,0.6275,,,,,,,404.15,0.6203,,,,,,
510,0.711,,,,,,,448.85,0.6275,,,,,,,404.35,0.6203,,,,,,
511,0.711,,,,,,,448.99,0.6275,,,,,,,405.19,0.6203,,,,,,
512,0.711,,,,,,,449,0.6275,,,,,,,406.63,0.6203,,,,,,
513,0.711,,,,,,,449.07,0.6275,,,,,,,408.21,0.6204,,,,,,
515,0.711,,,,,,,449.36,0.6275,,,,,,,408.59,0.6205,,,,,,
515,0.711,,,,,,,450.56,0.6275,,,,,,,408.91,0.6205,,,,,,
517,0.711,,,,,,,450.57,0.6275,,,,,,,408.99,0.6205,,,,,,
517,0.711,,,,,,,451.63,0.6277,,,,,,,409.51,0.6205,,,,,,
518,0.711,,,,,,,452.33,0.6277,,,,,,,409.78,0.6232,,,,,,
518,0.711,,,,,,,452.67,0.6287,,,,,,,409.9,0.6232,,,,,,
519,0.711,,,,,,,452.74,0.6287,,,,,,,410.19,0.6232,,,,,,
520,0.711,,,,,,,452.86,0.6287,,,,,,,410.79,0.6232,,,,,,
521,0.715,,,,,,,454.01,0.6292,,,,,,,411.2,0.6237,,,,,,
521,0.715,,,,,,,454.17,0.6292,,,,,,,411.3,0.6237,,,,,,
521,0.715,,,,,,,454.38,0.6296,,,,,,,411.9,0.6239,,,,,,
521,0.715,,,,,,,454.7,0.6296,,,,,,,412.82,0.6239,,,,,,
522,0.715,,,,,,,455.09,0.6296,,,,,,,413.09,0.6239,,,,,,
522,0.715,,,,,,,455.39,0.6299,,,,,,,413.67,0.6239,,,,,,
523,0.715,,,,,,,455.65,0.6299,,,,,,,414,0.6239,,,,,,
524,0.715,,,,,,,456.14,0.6299,,,,,,,414.07,0.6239,,,,,,
525,0.715,,,,,,,456.61,0.6299,,,,,,,414.22,0.6239,,,,,,
525,0.715,,,,,,,457.25,0.6299,,,,,,,414.47,0.624,,,,,,
526,0.715,,,,,,,457.35,0.6299,,,,,,,414.86,0.624,,,,,,
528,0.715,,,,,,,457.65,0.6299,,,,,,,414.87,0.624,,,,,,
529,0.715,,,,,,,457.85,0.6306,,,,,,,414.87,0.624,,,,,,
530,0.715,,,,,,,458.55,0.631,,,,,,,415.28,0.624,,,,,,
532,0.715,,,,,,,459.84,0.631,,,,,,,415.65,0.624,,,,,,
533,0.715,,,,,,,459.84,0.631,,,,,,,416.03,0.6245,,,,,,
535,0.715,,,,,,,460.08,0.6312,,,,,,,417.58,0.6245,,,,,,
536,0.715,,,,,,,460.24,0.6312,,,,,,,417.98,0.625,,,,,,
537,0.715,,,,,,,460.57,0.6318,,,,,,,418.23,0.6251,,,,,,
537,0.715,,,,,,,461.06,0.6318,,,,,,,418.46,0.6251,,,,,,
537,0.715,,,,,,,461.68,0.6318,,,,,,,419.93,0.6257,,,,,,
538,0.715,,,,,,,462.31,0.6318,,,,,,,420.15,0.6263,,,,,,
539,0.715,,,,,,,462.6,0.6318,,,,,,,420.36,0.6268,,,,,,
540,0.715,,,,,,,463.11,0.6318,,,,,,,420.87,0.6272,,,,,,
541,0.715,,,,,,,464.86,0.6319,,,,,,,421.46,0.6273,,,,,,
544,0.716,,,,,,,465.51,0.6319,,,,,,,421.98,0.6273,,,,,,
544,0.716,,,,,,,465.58,0.6319,,,,,,,422.16,0.6274,,,,,,
550,0.716,,,,,,,465.64,0.6319,,,,,,,422.65,0.6274,,,,,,
553,0.717,,,,,,,466.2,0.6319,,,,,,,422.85,0.6274,,,,,,
553,0.717,,,,,,,466.69,0.6319,,,,,,,423.01,0.6274,,,,,,
554,0.717,,,,,,,467.12,0.6322,,,,,,,423.18,0.6274,,,,,,
554,0.717,,,,,,,467.15,0.6322,,,,,,,423.2,0.6275,,,,,,
555,0.717,,,,,,,467.17,0.6323,,,,,,,425.11,0.6295,,,,,,
557,0.717,,,,,,,467.24,0.6324,,,,,,,425.44,0.6295,,,,,,
558,0.717,,,,,,,468.02,0.6324,,,,,,,425.78,0.6295,,,,,,
559,0.718,,,,,,,468.05,0.6324,,,,,,,425.84,0.6295,,,,,,
559,0.718,,,,,,,468.15,0.6324,,,,,,,426.15,0.6295,,,,,,
560,0.718,,,,,,,468.28,0.6324,,,,,,,426.29,0.6297,,,,,,
561,0.718,,,,,,,468.63,0.6324,,,,,,,426.29,0.6298,,,,,,
561,0.718,,,,,,,469.19,0.6324,,,,,,,426.78,0.6298,,,,,,
561,0.718,,,,,,,469.71,0.6324,,,,,,,426.78,0.6298,,,,,,
561,0.718,,,,,,,471.14,0.6328,,,,,,,427.05,0.6298,,,,,,
561,0.718,,,,,,,472.39,0.6328,,,,,,,428.69,0.6298,,,,,,
562,0.718,,,,,,,472.39,0.6328,,,,,,,429.54,0.6298,,,,,,
563,0.718,,,,,,,472.39,0.6328,,,,,,,429.97,0.6298,,,,,,
563,0.718,,,,,,,472.51,0.6329,,,,,,,430.81,0.6299,,,,,,
565,0.718,,,,,,,472.64,0.6329,,,,,,,431.64,0.6299,,,,,,
566,0.718,,,,,,,472.94,0.6329,,,,,,,432.74,0.6299,,,,,,
567,0.718,,,,,,,476.1,0.6333,,,,,,,433.37,0.6307,,,,,,
568,0.718,,,,,,,476.16,0.6333,,,,,,,434.02,0.6307,,,,,,
570,0.718,,,,,,,476.57,0.6337,,,,,,,434.64,0.6307,,,,,,
571,0.718,,,,,,,476.99,0.6337,,,,,,,435.32,0.6307,,,,,,
573,0.718,,,,,,,477.14,0.6337,,,,,,,435.32,0.6307,,,,,,
573,0.718,,,,,,,477.69,0.6339,,,,,,,436.87,0.6307,,,,,,
573,0.718,,,,,,,478.54,0.6343,,,,,,,438,0.6307,,,,,,
574,0.718,,,,,,,478.97,0.6344,,,,,,,438,0.6307,,,,,,
574,0.718,,,,,,,479.62,0.6344,,,,,,,439.07,0.6317,,,,,,
575,0.718,,,,,,,480.21,0.6344,,,,,,,439.07,0.6317,,,,,,
576,0.72,,,,,,,480.86,0.6344,,,,,,,440.25,0.6321,,,,,,
576,0.72,,,,,,,481.86,0.6345,,,,,,,441.06,0.6325,,,,,,
576,0.72,,,,,,,483.05,0.6345,,,,,,,441.57,0.6325,,,,,,
576,0.72,,,,,,,483.75,0.6348,,,,,,,443.84,0.6358,,,,,,
578,0.72,,,,,,,484.87,0.6349,,,,,,,444.18,0.6363,,,,,,
578,0.72,,,,,,,485.35,0.636,,,,,,,444.44,0.6363,,,,,,
578,0.72,,,,,,,485.59,0.636,,,,,,,444.9,0.6369,,,,,,
580,0.72,,,,,,,486.2,0.636,,,,,,,446.72,0.6369,,,,,,
580,0.72,,,,,,,486.42,0.636,,,,,,,446.73,0.637,,,,,,
584,0.72,,,,,,,486.82,0.636,,,,,,,447.11,0.637,,,,,,
585,0.72,,,,,,,487.02,0.6364,,,,,,,447.19,0.637,,,,,,
585,0.72,,,,,,,487.33,0.6372,,,,,,,448.52,0.6371,,,,,,
586,0.72,,,,,,,487.66,0.6372,,,,,,,449.08,0.6372,,,,,,
586,0.72,,,,,,,487.87,0.6372,,,,,,,449.47,0.6373,,,,,,
586,0.72,,,,,,,488.42,0.6383,,,,,,,450.45,0.6373,,,,,,
588,0.72,,,,,,,488.66,0.6388,,,,,,,450.78,0.6373,,,,,,
589,0.72,,,,,,,488.84,0.6388,,,,,,,451.25,0.6373,,,,,,
589,0.72,,,,,,,489.82,0.6388,,,,,,,451.68,0.6373,,,,,,
590,0.72,,,,,,,491.57,0.6394,,,,,,,451.76,0.6373,,,,,,
590,0.72,,,,,,,492.69,0.6394,,,,,,,451.95,0.6373,,,,,,
591,0.72,,,,,,,494.35,0.6394,,,,,,,451.95,0.6373,,,,,,
591,0.72,,,,,,,494.4,0.6394,,,,,,,454.07,0.638,,,,,,
591,0.72,,,,,,,495.11,0.6395,,,,,,,456.69,0.6383,,,,,,
592,0.72,,,,,,,496.94,0.6395,,,,,,,456.73,0.6383,,,,,,
592,0.72,,,,,,,497,0.6395,,,,,,,457.38,0.6383,,,,,,
592,0.72,,,,,,,497.29,0.6396,,,,,,,460.12,0.6389,,,,,,
593,0.72,,,,,,,497.74,0.6397,,,,,,,461.63,0.64,,,,,,
594,0.72,,,,,,,498.75,0.6403,,,,,,,462.66,0.64,,,,,,
595,0.72,,,,,,,500.63,0.641,,,,,,,463.37,0.64,,,,,,
595,0.72,,,,,,,500.85,0.641,,,,,,,463.76,0.6401,,,,,,
595,0.72,,,,,,,502.81,0.6413,,,,,,,463.91,0.6406,,,,,,
595,0.72,,,,,,,504.49,0.6426,,,,,,,463.98,0.6406,,,,,,
596,0.72,,,,,,,504.71,0.6426,,,,,,,465.41,0.6406,,,,,,
596,0.72,,,,,,,504.99,0.6426,,,,,,,466.5,0.6406,,,,,,
596,0.72,,,,,,,505.1,0.6426,,,,,,,466.86,0.6406,,,,,,
596,0.72,,,,,,,505.26,0.6426,,,,,,,467.48,0.6406,,,,,,
596,0.72,,,,,,,505.69,0.6432,,,,,,,468.32,0.6406,,,,,,
596,0.72,,,,,,,505.86,0.6432,,,,,,,469.07,0.6406,,,,,,
597,0.72,,,,,,,506.58,0.6432,,,,,,,469.53,0.6409,,,,,,
597,0.72,,,,,,,506.67,0.6432,,,,,,,470.74,0.6409,,,,,,
597,0.72,,,,,,,507.22,0.6432,,,,,,,471.33,0.641,,,,,,
597,0.72,,,,,,,507.3,0.6432,,,,,,,471.34,0.641,,,,,,
598,0.72,,,,,,,508.81,0.6431,,,,,,,471.34,0.641,,,,,,
598,0.72,,,,,,,509.13,0.6431,,,,,,,472.03,0.641,,,,,,
598,0.72,,,,,,,509.85,0.6449,,,,,,,475.14,0.641,,,,,,
599,0.72,,,,,,,511.02,0.6449,,,,,,,475.2,0.641,,,,,,
602,0.723,,,,,,,511.34,0.6449,,,,,,,475.2,0.641,,,,,,
602,0.723,,,,,,,511.51,0.6449,,,,,,,476.08,0.6418,,,,,,
602,0.723,,,,,,,512.6,0.6449,,,,,,,478.97,0.643,,,,,,
602,0.723,,,,,,,513.53,0.6449,,,,,,,479.82,0.6433,,,,,,
604,0.723,,,,,,,514.44,0.6449,,,,,,,480.72,0.6433,,,,,,
605,0.723,,,,,,,514.93,0.6449,,,,,,,483.35,0.6436,,,,,,
605,0.723,,,,,,,515.51,0.6448,,,,,,,483.98,0.6437,,,,,,
605,0.723,,,,,,,516.35,0.6448,,,,,,,484.11,0.6437,,,,,,
605,0.723,,,,,,,516.6,0.6448,,,,,,,484.52,0.6437,,,,,,
606,0.725,,,,,,,517.28,0.6448,,,,,,,484.79,0.6437,,,,,,
607,0.725,,,,,,,518.01,0.6448,,,,,,,485.41,0.6437,,,,,,
608,0.725,,,,,,,518.29,0.6448,,,,,,,485.88,0.6437,,,,,,
612,0.734,,,,,,,519.03,0.6448,,,,,,,486.37,0.6438,,,,,,
612,0.734,,,,,,,519.24,0.6449,,,,,,,486.4,0.6438,,,,,,
613,0.734,,,,,,,519.88,0.6453,,,,,,,486.65,0.6438,,,,,,
613,0.734,,,,,,,520.33,0.6453,,,,,,,487.22,0.6438,,,,,,
613,0.734,,,,,,,520.77,0.6453,,,,,,,487.78,0.6438,,,,,,
614,0.734,,,,,,,521.29,0.6458,,,,,,,488.19,0.6438,,,,,,
614,0.734,,,,,,,521.71,0.646,,,,,,,488.64,0.6438,,,,,,
614,0.734,,,,,,,522.11,0.646,,,,,,,488.99,0.6438,,,,,,
614,0.734,,,,,,,522.11,0.646,,,,,,,490.34,0.644,,,,,,
614,0.734,,,,,,,522.26,0.646,,,,,,,491.63,0.6452,,,,,,
617,0.734,,,,,,,523.04,0.646,,,,,,,491.75,0.6452,,,,,,
617,0.734,,,,,,,523.86,0.646,,,,,,,493.58,0.6454,,,,,,
617,0.734,,,,,,,524.93,0.6468,,,,,,,494.79,0.646,,,,,,
618,0.734,,,,,,,525.18,0.6468,,,,,,,494.83,0.646,,,,,,
618,0.735,,,,,,,526.02,0.6468,,,,,,,494.98,0.646,,,,,,
621,0.735,,,,,,,526.57,0.6468,,,,,,,495.33,0.646,,,,,,
621,0.735,,,,,,,526.93,0.6468,,,,,,,495.7,0.6462,,,,,,
627,0.735,,,,,,,528.43,0.647,,,,,,,495.71,0.6462,,,,,,
627,0.735,,,,,,,529.55,0.6471,,,,,,,496.28,0.6463,,,,,,
632,0.735,,,,,,,529.92,0.647,,,,,,,496.29,0.6463,,,,,,
632,0.735,,,,,,,530.19,0.647,,,,,,,496.49,0.6463,,,,,,
633,0.738,,,,,,,530.93,0.647,,,,,,,496.85,0.6473,,,,,,
634,0.738,,,,,,,531.11,0.647,,,,,,,497.2,0.6473,,,,,,
634,0.738,,,,,,,531.81,0.6471,,,,,,,498.08,0.6475,,,,,,
634,0.738,,,,,,,532.37,0.6472,,,,,,,499.73,0.6481,,,,,,
635,0.738,,,,,,,532.92,0.6472,,,,,,,499.98,0.6481,,,,,,
636,0.739,,,,,,,534.22,0.6472,,,,,,,502.66,0.6502,,,,,,
637,0.739,,,,,,,534.83,0.6472,,,,,,,503.53,0.6502,,,,,,
637,0.739,,,,,,,537.68,0.6474,,,,,,,503.53,0.6502,,,,,,
638,0.739,,,,,,,537.76,0.6474,,,,,,,503.69,0.6502,,,,,,
638,0.739,,,,,,,538.49,0.6475,,,,,,,503.93,0.6502,,,,,,
638,0.739,,,,,,,538.61,0.6476,,,,,,,504.33,0.6502,,,,,,
638,0.739,,,,,,,538.73,0.6476,,,,,,,504.8,0.6503,,,,,,
640,0.739,,,,,,,539.15,0.6478,,,,,,,505.27,0.6503,,,,,,
641,0.739,,,,,,,539.31,0.6478,,,,,,,505.84,0.6503,,,,,,
644,0.739,,,,,,,541.07,0.6498,,,,,,,506.33,0.6503,,,,,,
651,0.741,,,,,,,541.96,0.6498,,,,,,,507.76,0.6513,,,,,,
652,0.741,,,,,,,542.04,0.6497,,,,,,,508.48,0.6514,,,,,,
652,0.741,,,,,,,542.57,0.6524,,,,,,,509.33,0.6514,,,,,,
661,0.746,,,,,,,543.17,0.6525,,,,,,,510.68,0.6514,,,,,,
662,0.746,,,,,,,543.39,0.6534,,,,,,,511.38,0.6519,,,,,,
665,0.746,,,,,,,543.78,0.6534,,,,,,,512.18,0.6519,,,,,,
665,0.746,,,,,,,543.93,0.6534,,,,,,,512.98,0.6519,,,,,,
665,0.746,,,,,,,544.66,0.6536,,,,,,,513.77,0.6519,,,,,,
665,0.746,,,,,,,545.28,0.6536,,,,,,,514.64,0.6522,,,,,,
667,0.746,,,,,,,545.96,0.6536,,,,,,,515.59,0.6525,,,,,,
668,0.746,,,,,,,546.41,0.6536,,,,,,,515.63,0.6525,,,,,,
669,0.746,,,,,,,547.44,0.6536,,,,,,,516.5,0.6526,,,,,,
670,0.746,,,,,,,548.5,0.6536,,,,,,,517.81,0.6526,,,,,,
672,0.746,,,,,,,549.49,0.6535,,,,,,,518.53,0.6526,,,,,,
673,0.746,,,,,,,550.37,0.6535,,,,,,,519.24,0.6526,,,,,,
674,0.746,,,,,,,550.39,0.6535,,,,,,,519.83,0.6527,,,,,,
675,0.747,,,,,,,551.2,0.6535,,,,,,,519.89,0.6527,,,,,,
676,0.747,,,,,,,551.74,0.6535,,,,,,,520.09,0.6538,,,,,,
677,0.748,,,,,,,552.08,0.6535,,,,,,,520.29,0.6538,,,,,,
677,0.748,,,,,,,552.77,0.6536,,,,,,,520.69,0.6539,,,,,,
677,0.748,,,,,,,552.77,0.6536,,,,,,,520.85,0.654,,,,,,
677,0.749,,,,,,,553.79,0.6541,,,,,,,521.28,0.6549,,,,,,
678,0.749,,,,,,,553.95,0.6541,,,,,,,521.43,0.6549,,,,,,
679,0.749,,,,,,,554.11,0.6541,,,,,,,521.97,0.6549,,,,,,
679,0.749,,,,,,,554.4,0.6542,,,,,,,523.19,0.6567,,,,,,
679,0.749,,,,,,,554.41,0.6542,,,,,,,523.51,0.6567,,,,,,
679,0.749,,,,,,,554.87,0.6546,,,,,,,523.73,0.6567,,,,,,
680,0.75,,,,,,,555.23,0.6546,,,,,,,524.27,0.657,,,,,,
681,0.75,,,,,,,555.57,0.6546,,,,,,,524.58,0.657,,,,,,
681,0.75,,,,,,,556.3,0.6546,,,,,,,524.97,0.657,,,,,,
681,0.75,,,,,,,556.51,0.6546,,,,,,,525.32,0.657,,,,,,
682,0.75,,,,,,,559.15,0.6566,,,,,,,527.16,0.6571,,,,,,
682,0.75,,,,,,,559.59,0.6566,,,,,,,527.54,0.6571,,,,,,
682,0.75,,,,,,,559.79,0.657,,,,,,,527.86,0.6571,,,,,,
683,0.75,,,,,,,559.93,0.6571,,,,,,,530.45,0.6571,,,,,,
683,0.75,,,,,,,560.57,0.6571,,,,,,,531.34,0.6571,,,,,,
683,0.751,,,,,,,561.2,0.6571,,,,,,,532.14,0.658,,,,,,
683,0.751,,,,,,,562,0.6571,,,,,,,532.2,0.658,,,,,,
683,0.751,,,,,,,562.4,0.6571,,,,,,,533.62,0.658,,,,,,
685,0.751,,,,,,,563.51,0.6571,,,,,,,533.62,0.658,,,,,,
687,0.751,,,,,,,564.35,0.6571,,,,,,,533.62,0.658,,,,,,
687,0.751,,,,,,,564.88,0.6571,,,,,,,533.89,0.658,,,,,,
689,0.751,,,,,,,564.88,0.6571,,,,,,,534.38,0.6582,,,,,,
689,0.751,,,,,,,565.6,0.6571,,,,,,,534.99,0.6582,,,,,,
690,0.751,,,,,,,566.75,0.6571,,,,,,,535.41,0.6582,,,,,,
690,0.751,,,,,,,567.01,0.6571,,,,,,,536.16,0.6582,,,,,,
692,0.751,,,,,,,567.92,0.6578,,,,,,,536.76,0.6582,,,,,,
692,0.753,,,,,,,567.92,0.6578,,,,,,,537.31,0.6582,,,,,,
693,0.754,,,,,,,568.52,0.658,,,,,,,537.54,0.6584,,,,,,
694,0.754,,,,,,,569.33,0.658,,,,,,,538.5,0.659,,,,,,
702,0.764,,,,,,,570.32,0.658,,,,,,,539.36,0.659,,,,,,
702,0.764,,,,,,,571.93,0.658,,,,,,,539.38,0.659,,,,,,
702,0.764,,,,,,,572.19,0.6592,,,,,,,539.6,0.6591,,,,,,
703,0.764,,,,,,,572.57,0.6592,,,,,,,539.61,0.6591,,,,,,
703,0.764,,,,,,,572.61,0.6592,,,,,,,539.98,0.6591,,,,,,
703,0.764,,,,,,,572.9,0.6592,,,,,,,540.04,0.6591,,,,,,
703,0.764,,,,,,,573.97,0.6592,,,,,,,543.14,0.6602,,,,,,
704,0.764,,,,,,,574.77,0.6592,,,,,,,543.57,0.6602,,,,,,
705,0.764,,,,,,,576.13,0.6592,,,,,,,543.62,0.6602,,,,,,
705,0.764,,,,,,,577.2,0.6592,,,,,,,543.95,0.6602,,,,,,
709,0.764,,,,,,,577.95,0.6592,,,,,,,544.11,0.6602,,,,,,
709,0.764,,,,,,,578.6,0.6593,,,,,,,544.56,0.6602,,,,,,
712,0.764,,,,,,,579.75,0.6596,,,,,,,544.62,0.6602,,,,,,
712,0.764,,,,,,,580.33,0.6598,,,,,,,545.01,0.6602,,,,,,
712,0.764,,,,,,,580.51,0.6598,,,,,,,545.01,0.6602,,,,,,
712,0.764,,,,,,,580.83,0.6598,,,,,,,545.88,0.6602,,,,,,
713,0.764,,,,,,,580.88,0.6598,,,,,,,546.36,0.6602,,,,,,
716,0.764,,,,,,,582.53,0.6602,,,,,,,546.38,0.6602,,,,,,
716,0.764,,,,,,,582.66,0.6602,,,,,,,546.54,0.6602,,,,,,
716,0.764,,,,,,,582.71,0.6602,,,,,,,547.96,0.6602,,,,,,
718,0.764,,,,,,,582.89,0.6601,,,,,,,549.48,0.6602,,,,,,
718,0.764,,,,,,,583.17,0.6601,,,,,,,549.89,0.6602,,,,,,
721,0.766,,,,,,,583.58,0.6601,,,,,,,552.01,0.6602,,,,,,
722,0.766,,,,,,,583.84,0.6602,,,,,,,552.61,0.6602,,,,,,
723,0.766,,,,,,,590.44,0.6708,,,,,,,556.57,0.6645,,,,,,
723,0.766,,,,,,,590.82,0.6708,,,,,,,556.57,0.6645,,,,,,
727,0.766,,,,,,,591.25,0.6709,,,,,,,556.73,0.6645,,,,,,
729,0.766,,,,,,,591.34,0.6709,,,,,,,557.88,0.6648,,,,,,
729,0.766,,,,,,,592.24,0.6709,,,,,,,558.94,0.6652,,,,,,
729,0.766,,,,,,,593.44,0.6709,,,,,,,559.01,0.666,,,,,,
729,0.766,,,,,,,593.52,0.6709,,,,,,,559.58,0.666,,,,,,
730,0.766,,,,,,,593.6,0.6709,,,,,,,560.13,0.666,,,,,,
732,0.766,,,,,,,593.82,0.6709,,,,,,,560.4,0.666,,,,,,
733,0.766,,,,,,,593.86,0.6709,,,,,,,561.15,0.666,,,,,,
734,0.766,,,,,,,594.18,0.6709,,,,,,,561.38,0.666,,,,,,
